location_label,description,charger_type
Walmart Plateros,"Blvd. Adolfo Lopez Mateos 1701 Lomas de Plateros, Ciudad de Mexico, Benito Juarez 1480",charger
Fiesta Inn Ciudad del Carmen,"Av. Periferico Norte s/n Parque Alameda, Colonia Centro, Ciudad del Carmen, CAM 24170",charger
Fiesta Inn Loft Ciudad del Carmen,"Avenida Luis Donaldo Colosio Esq Calle 20 S/N Miguel de la Madrid, Ciudad del Carmen, CAM 24130",charger
Gamma Campeche Malecon,"Av. Ruiz Cortines No. 51 Col. Centro, Campeche, CAM 24000",charger
Fiesta Inn Tuxtla Gutierrez,"Av. Prolongacion Anillo Circunvalacion Sur 248 Santa Elena, Tuxtla Gutierrez, CHP 29060",charger
Hilton Garden Inn Tuxtla Gutierrez,"Blvd. Belisario Dominguez 1641 Jardines de Tuxtla, Tuxtla Gutierrez, CHP 29020",charger
Hotel San Francisco,"Calle Central Sur Oriente 94 Centro, 16 de Septiembre, Tapachula de Cordova y Ordonez, CHP 30700",charger
Alsuper Freshmarket Santa Fe,"Periferico de La Juventud 990 Haciendas Sta Fe, Chihuahua, CHH 31215",charger
Courtyard by Marriot Chihuahua,"Via Lombardia 5702, Plaza Citadela D1 Col. Saucito, Chihuahua, CHH 31110",charger
Courtyard by Marriott Juarezz,"Mision de los Lagos 9020 Partido Iglesias, Ciudad Juarez, CHH 32668",charger
Edificio Corporativo Vetro D1,"Av. de la Juventud Insurgentes II, Chihuahua, CHH 31207",charger
Fiesta Inn Chihuahua,"Boulevard Antonio Ortiz Mena 2801 Quintas del Sol, Chihuahua, CHH 31250",charger
Fiesta Inn Ciudad Juarez,"Paseo Triunfo de la Republica 3451 Circuito Pronaf, Cd Juarez, CHH 32315",charger
Plaza 3106,"Periferico de la Juventud 3102 Puerta de Hierro, Chihuahua, CHH 31215",charger
Plaza Barrancas,"Bulevar Tomas Fernandez 9050 Campos El iseos, Cd Juarez, CHH 32470",charger
Plaza Cantabria,"Av. Paseo Triunfo de la Republica 5854 Sicomoros, Cd Juarez, CHH 32349",charger
The Lofts,"Avenida de la Juventud 5700 Saucito, Chihuahua, CHH 31110",charger
AC hotel by Marriott Santa Fe,"Juan Salvador Agraz 130 Lomas de Santa Fe, Contadero, Cuajimalpa, CMX 5348",charger
Altezza Palmas,"Av. Paseo de las Palmas 340 Lomas - Virreyes, Lomas de Chapultepec V Secc, Miguel Hidalgo, CMX 11000",charger
Cafe O Lomas,"Calle Monte L├¡bano #245 Lomas de Chapultepec V Secc, Miguel Hidalgo, CMX 11000",charger
Centro Comercial Mundo E,"Manuel Avila Camacho 1007 San Lucas Tepetlacalco, Tlalnepantla, CMX 54055",charger
Centro Dinßmico Pegaso,"Carretera Toluca Naucalpan km 52.5 San Mateo Otzacatipan, Toluca de Lerdo, CMX 50220",charger
Cervantes 169,"Blvd. Miguel de Cervantes Saavedra 169 Granada, Miguel Hidalgo, CMX 11520",charger
Cipriani Polanco,"Presidente Masaryk 311 Polanco, Miguel Hidalgo, CMX 11550",charger
City Express Ciudad de Mexico Buenavista,"Insurgentes Nte. 226 Santa Maria la Ribera, Ciudad de Mexico, CMX 6400",charger
Club de Golf Mexico,"Glorieta Sur 64 San Buenaventura, Xochimilco, CMX 14620",charger
Club Deportivo Chapultepec,"Calz. Gral. Mariano Escobedo 665 Polanco, Bosque de Chapultepec I Secc,, Miguel Hdalgo, CMX 11590",charger
COPEMSA Bajio,"Bajio No. 322 Esq. Chilpancingo Roma Sur, Cuauhtemoc, CMX 8760",charger
COPEMSA Colegio M├⌐xico,"Carretera Picacho Ajusco s/n Jardines de la montana, Tlalpan, CMX 14738",charger
COPEMSA Etiopia,"Anaxagoras No. 302 Esq. con Morena. Narvarte, Benito Juarez, CMX 11550",charger
COPEMSA Gran Plaza,"Palma Norte No. 37 Centro Historico, Cuauhtemoc, CMX 6000",charger
COPEMSA San Juan,"Aranda No.10 Esq. Ayuntamiento Centro, Cuauhtemoc, CMX 6760",charger
COPEMSA Tolstoi,"Mariano Escobedo No. 726 Esq. Leon Tolstoi Nueva Anzures, Miguel Hidalgo, CMX 11590",charger
COPEMSA Vizcainas,"Plaza de las Vizcainas s/n Eje Central Lazaro Cardena, Cuauhtemoc, CMX 6010",charger
Corporativo Lomas Cantabria A.C.,"Cerrada de Palomas 22 Reforma Social, Miguel Hidalgo, CMX 11650",charger
Courtyard Mexico City Airport,"Sinaloa 31 Pe├▒├│n de los Ba├▒os, Venunstiano Carranza, CMX 15520",charger
Crater 823,"Crater 823 Jardines del Pedregal, Alvaro Obregon, CMX 1900",charger
Downtown Santa Fe,"Av. Santa Fe 428 H2O Zedec Santa Fe., Cuajimalpa, CMX 5349",charger
Fiesta Americana Grand Chapultepec,"Av. Mariano Escobedo #756 Anzures, Miguel Hidalgo, CMX 11590",charger
Fiesta Americana Reforma,"Paseo de la Reforma 80 Juarez, Cuauhtemoc, CMX 6600",charger
Fiesta Inn Insurgentes Viaducto,"Av. Insurgentes Sur 553 Escandon I Secc, Benito Juarez, CMX 11800",charger
Fiesta Inn Periferico Sur,"Periferico Sur #5530 Col. Pedregal de Carrasco, Coyoacan, CMX 4700",charger
Fiesta Inn Plaza Central Aeropuerto,"Calle Canal Rio Churubusco 1635 Central de Abasto, Iztapalapa, CMX 9040",charger
"Four Seasons Hotel Mexico, D.F.","Paseo de la Reforma 500 Juarez, Cuauhtemoc, CMX 6600",charger
German Center,"Av Sta Fe 170 Zedec Sta Fe, Alvaro Obregon, CMX 1219",charger
Gran Sur,"Periferico Sur 5550, Pedregal de Carrasco El Caracol, Coyoacan, CMX 4700",charger
Holiday Inn Churubusco,"Rio Churubusco 253 Col. Granjas Mexico, Iztacalco, CMX 8400",charger
Hotel Galeria Plaza Reforma,"Hamburgo 195 Colonia Juarez, Cuauhtemoc, CMX 6600",charger
Hotel W,"Campos El├¡seos 252 Polanco, Polanco IV Secc,, Deleg. Miguel Hidalgo, CMX 11560",charger
InterContinental Presidente Santa Fe Mexico,"Juan Salvador Agraz 97 Ave Real, Santa Fe, CMX 5300",charger
La Cocina el Tras,"Carretera Federal Mexico - Toluca 2685 Palo Alto, Cuajimalpa de Morelos, CMX 5110",charger
Live Aqua Bosques Mexico,"Av. No. Col., Paseo de Los Tamarindos 98 Bosque de las Lomas, Cuajimalpa, CMX 5120",charger
Liverpool Polanco,"Mariano Escobedo 425 Polanco, Miguel Hidalgo, CMX 11570",charger
Manacar,"Avenida de los Insurgentes Sur 1457 Insurgentes Mixcoac, Benito Ju├írez, CMX 3230",charger
Montes Urales 770,"Montes Urales 770 Lomas de Chapultepec, Miguel Hidalgo, CMX 11000",charger
Pabellon Cuauhtemoc,"Antonio Manuel Anza No. 20 Roma Sur, Cuauhtemoc, CMX 6700",charger
Palacio de Hierro Polanco,"222 Av. Moliere Polanco, Polanco II Secc,, Miguel Hidalgo, CMX 11570",charger
Parque La Mexicana,"Lomas de Santa Fe Contadero, Alvaro Obregon, CMX 1219",charger
Patio Claveria,"Calle Egipto 142 Claveria, Azcapotzalco, CMX 2080",charger
Plaza Altavista,"Av. Altavista 147, Alvaro Obregon, CMX 1060",charger
Plaza Insurgentes,"San Luis Potosi 214 Roma Nte, Cuauhtemoc, CMX 6700",charger
Plaza Zapamundi,"Avenida Canal de Miramontes 2600-2640 Ciruelos, Coyoacan, CMX 4830",charger
Presidente InterContinental Polanco,"Campos Eliseos 218, Col. Chapultepec Polanco, Polanco IV Secc, Miguel Hidalgo, CMX 11560",charger
Qubica Lomas,"Volcan 150, Lomas - Virreyes Lomas de Chapultepec V Secc, Miguel Hidalgo, CMX 11000",charger
Samara Santa Fe,"Calle Antonio Dovali Jaime, 70 Zedec Santa Fe, Alvaro Obregon, CMX 1219",charger
Sanborn's Barranca del Muerto,"Av. Barranca del Muerto 479 Merced G├│mez, ├ülvaro Obreg├│n, CMX 1600",charger
Sanborn's Colonia del Valle,"Av de los Insurgentes Sur 882 Colonia Del Valle, Benito Juarez, CMX 3810",charger
Sanborn's Fuentes Brotantes,"Av. Insurgentes Sur 3996 La Joya, Tlalpan, CMX 6170",charger
Sanborn's Las Aguilas,"Calz. de las Aguilas 1350 Col. Puente Colorado, Alvaro Obregon, CMX 1730",charger
Sanborn's Masaryk,"Hegel 345 Chapultepec Morales, Miguel Hidalgo, CMX 11570",charger
Sanborn's Palmas,"Paseo de Las Palmas 781 Lomas de Chapultepec V Secc, Miguel Hidalgo, CMX 11560",charger
Sanborn's San Antonio,"Av Insurgentes Sur 688 Col del Valle Nte, Benito Juarez, CMX 3810",charger
Sanborn's Tacubaya,"Jose Vasconcelos 106 San Miguel Chapultepec, Miguel Hidalgo, CMX 11850",charger
Sanborn's Taxquena,"Av. Miguel Angel de Quevedo 1030 Parque San Andres, Coyoacan, CMX 4040",charger
Sanborn's Villa de Cortes,"Calzada de Tlalpan 744 La Moderna, Benito Juarez, CMX 3150",charger
Sanborn's Xochimilco,"Guadalupe I. Ramirez 318 Tepepan San Marcos, Xochimilco, CMX 16050",charger
Sanborn's Xola,"Avenida Xola 1856 Narvarte, Benito Juarez, CMX 3020",charger
Santa Fe Hills,"Av. Vasco de Quiroga 4299 Loma de San Pedro, Ciudad de M├⌐xico, CMX 5370",charger
Sheraton Four Points Roma CDMX,"Av. Alvaro Obregon 38, Roma Nte, Cuauhtemoc, CMX 6700",charger
Sheraton Mexico City Maria Isabel,"325 Paseo de la Reforma Juarez, Cuauhtemoc, CMX 6500",charger
Sheraton Santa Fe Mexico City,"200 Guillermo Gonzalez Camarena, Alvaro Obregon, CMX 1210",charger
Sinaloa 195,"Sinaloa 195 Roma Nte, Cuauhtemoc, CMX 6700",charger
Sir Winston Churchill's,"Perif. Blvd. Manuel Avila Camacho 67 Polanco, Lomas de Chapultepec III Secc, Miguel Hidalgo, CMX 11560",charger
St. Regis Mexico City,"439 Paseo de la Reforma, Cuauhtemoc, CMX 6500",charger
Terraza Pedregal,"Anillo Perif. Blvd. Adolfo Lopez Mateos 4132 Jardines del Pedregal, Cuauhtemoc, CMX 1900",charger
Torre Carso Palmas,"Av. Paseo de las Palmas 781 Lomas de Chapultepec V Secc, Miguel Hidalgo, CMX 11560",charger
Torre Optima,"Paseo de las Palmas 405 Lomas de Chapultepec V Secc, Miguel Hidalgo, CMX 11000",charger
Torre Optima 3,"Av. Paseo de las Palmas 425 Lomas de Chapultepec V Secc, Miguel Hidalgo, CMX 11000",charger
Torre Optima II,"Avenida de las Palmas 275 Lomas de Chapultepec V Secc, Miguel Hidalgo, CMX 11000",charger
Torre Reforma,"Paseo de La Reforma 483, Cuauhtemoc, CMX 6500",charger
Torre Reforma 115,"Paseo de La Reforma 115 Lomas de Chapultepec V Secc, Miguel Hidalgo, CMX 11000",charger
Total - Consulado,"Av. Rio Consulado 2884 Pensador Mexicano, Gustavo A madero, CMX 15510",charger
Walmart Miramontes,"Av. H. Escuela Naval Militar 753 Cipreses, Ciudad de Mexico, CMX 4890",charger
AlSuper Freshmarket San Patricio,"Blvd. Eulaliio Gutierrez Trevino 1890 Fracc. San Patricio, Saltillo, Coahuila",charger
Bosques de Monterreal,"25350 Arteaga, Coah. Carretera San Antonio de las Alazanas (Coahuila 112) Km 32 s/n, Santa Anita del Penasco, Arteaga, Coahuila 25350",charger
Centro Gastronomico il Mercato,"Blvd. Galerias 375 Los Parques, Saltillo, Coahuila 25279",charger
City Express Saltillo Norte,"Perif. Luis Echeverr├¡a 1630 Col 16, Saltillo, Coahuila 25280",charger
Edden Torre 1,"Boulevard Galerias 375-1 Col Parque Centro 16, Saltillo, Coahuila 25279",charger
Edificio de Salud Integral Maria Parque Centro,"Blvd. Galerias Los Parques, Saltillo, Coahuila 25279",charger
Fiesta Inn Monclova,"Blvd. Harold R. Pape 1909 Fraccionamiento La Salle, Monclova, Coahuila 25730",charger
Fiesta Inn Saltillo,"Carretera Saltillo - Monterrey No.6607 Zona Industrial, Saltillo, Coahuila 25270",charger
Gamma Torreon,"Calz. Jose Vasconcelos # 1935 Col. Residencial Tecnologico, Torreon, Coahuila 27272",charger
Hotel Best Western Go Inn Monclova,"Blvd Harold R. Pape 612 Centro, Monclova, Coahuila 25700",charger
Hotel City Torreon,"Periferico Raul Lopez Sanchez 5500 Residencial el Fresno, Torre├│n, Coahuila 27018",charger
Hotel Mision Torreon,"Calz Paseo de la Rosita 910 Fracc. de la Rosita, Torre├│n, Coahuila 27250",charger
Hotel One Monclova,"Av. La Salle #1909 Fracc. Jard├¡nes de la Salle,, Monclova, Coahuila 25720",charger
Hotel Rincón del Montero,"KM 3 Carretera Parras-Paila Km. 3, Parras de la Fuente, Coahuila 27980",charger
Nicanor,"Blvd. Independencia 2295 Local 17 Piso 2 San Isidro,, Torreon, Coahuila 27100",charger
Plaza Cuatro Caminos,"Blvd. Independencia 1300 Navarro, Torre├│n, Coahuila 27010",charger
Santa Fe Multigas,"Blvd. Republica Ampliacion 1922 Col. Tecnologico, Piedras Negras, Coahuila 26080",charger
Fiesta Inn Colima,"Prolongacion Camino Real 1101 El Diezmo, Colima, COL 28010",charger
Grand Isla Navidad Resort,"Circuito de los Marinos S/N Fraccionamiento Isla Navidad Manzanillo,, Colima, COL 28838",charger
Hotel Mision Colima,"Blvd. Camino Real No. 999 Col. El Diezmo, Colima, COL 28010",charger
Las Hadas by Brisas,"Av. Vista Hermosa y Av. de los Riscos S/N Pen├¡nsula de Santiago, Manzanillo, COL 28667",charger
Wyndham Garden Hotels Colima,"1100, Lat. Tercera Anillo Periferico Residencial Esmeralda Nte, Colima, COL 28010",charger
Zentralia Colima,"Paseo Miguel de la Madrid Hurtado 301 Valle Dorado, Colima, COL 28018",charger
Plaza Cuicuilco,"Av Insurgentes Sur 3500 Pena Pobre, Manantial Pena Pobre, Tlalpan, CMX 14060",charger
City Express Durango,"Blvrd Francisco Villa 4021 20 de Noviembre, Durango, DUR 34234",charger
Fiesta Inn Durango,"Avenida Felipe Pescador 1401 Esperanza, Durango, DUR 34080",charger
Hampton Inn Durango,"Av. Heroico Colegio Militar 101 Nueva Vizcaya, Durango, DUR 34080",charger
Hotel Gobernador,"Oriente, Av 20 de Noviembre 257 Zona Centro, Durango, DUR 34000",charger
Hotel Mision Express Durango,"Blvrd Francisco Villa 4301 20 de Noviembre, Durango, DUR 34208",charger
Town Square Metepec,"Calle Miguel Hidalgo 682 Residencial la Providencia, Providencia, MEX 52177",charger
Andaro Valle de Bravo,"Av. Del Carmen Lote 4 Fracc 33 Avandaro, Valle de Bravo, MEX 51200",charger
BeGrand Park Bosques,"Blvd. Palmas Hills S/N Col. Hacienda de las Palmas, Huixquilucan, MEX 52763",charger
Bosque Real,"Carretera Mexico Huixquilucan No.180 Bosque Real, Naucalpan de Juarez, MEX 52770",charger
Centro Comercial El Triangulo,"Av. de los Bosques 128 Lomas de Tecamachalco, Naucalpan de Juarez, MEX 52780",charger
City Express Tepotzotlan,"Autopista Mexico-Queretaro, Km. 42.5 S/N Barrio Texcacoa, Cedros, Tepotzotlan, MEX 54600",charger
Club de Golf Bellavista,"Av Valle Verde 52 Club de Golf Bellavista, Ciudad Lopez Mateos, MEX 52995",charger
Cosmopol,"San Francisco Coacalco Bosques del Valle, Coacalco de Berriozabal, MEX 55700",charger
Courtyard by Marriott Toluca Airport,"Blvd. Miguel Aleman 177 Reforma, San Nicolas Tolentino Otzacatipan, Toluca, MEX 50200",charger
Courtyard by Marriott Toluca Tollocan,"Calle Paseo Matlatzincas 834 Barrio de Zopilocalco Sur, Toluca, MEX 50120",charger
El Santuario - Valle de Bravo,"Carretera a Colorines Km. 4.5 San Gaspar del Lago, Valle de Bravo, MEX 51200",charger
Espacio Esmeralda,"Vφa Dr. Jorge JimΘnez Cant· s/n Bosque Esmeralda, Cd Lopez Mateos, MEX 52930",charger
Espacio Interlomas,"Avenida Jesus del Monte 37 Jesus del Monte, Huixquilucan, MEX 52764",charger
Fiesta Inn Cuautitlan,"Av. Chalma Esq. Autopista Mexico-Queretaro Lote 8 Jardines de la Hacienda Norte, Cuautitlan Izcalli, MEX 54700",charger
Fiesta Inn Ecatepec,"Av. 1ro. de Mayo s/n Conjunto Urbano Las Americas, Ecatepec de Morelos, MEX 55076",charger
Fiesta Inn Naucalpan,"Periferico Norte, s/n Alce Blanco, Naucalpan de Juarez, MEX 53370",charger
Fiesta Inn Perinorte,"Carretera Mexico-Queretaro Km. 32.5 esq. Ferrocarrilera Lecheria, Tultitlan, MEX 54900",charger
"Fiesta Inn Tlalnepantla, Ciudad de Mexico","Av. Sor Juana Ines de La Cruz 22 Centro, Tlalnepantla, MEX 54000",charger
Fiesta Inn Toluca Centro,"Calle Ignacio Allende Sur #124 Centro, Toluca, MEX 50000",charger
Fiesta Inn Toluca Tollocan,"Paseo Tollocan Oriente 1132 Col. Santa Ana Tlapaltitl├ín, Toluca, MEX 50160",charger
Fly Across,"Aeropuerto Internacional de Toluca Calle 6 Lt 53, San Pedro Totoltepec, Toluca, MEX 50200",charger
Gran Terraza Lomas Verdes,"Colina de la Paz #25 Fracc. Bulevares, Boulevares, Naucalpan de Ju├írez, MEX 53120",charger
Hotel La Muralla,"Calle Uruapan 62 La Michoacana, Metepec, MEX 52166",charger
Mision Grand Valle de Bravo,"Av. Fontana Brava S/N Avandaro, Valle de Bravo, MEX 51200",charger
One Toluca Aeropuerto,"Boulevard Miguel Alem├ín Manzana 1 San Pedro Totoltepec,, Toluca de Lerdo, MEX 50200",charger
PITS - Valle de Bravo I,"Carr. Valle de Bravo - Toluca Km 11, Almoloya de Juarez Centro, MEX 50900",charger
