location_label,description,charger_type
Las Brisas Acapulco,"Escenica 5255 Fracc Marina Brisas, Pichilingue, Acapulco, GRO 39867",charger
Pierre Mundo Imperial,"Costera de las Palmas Granjas del Marques, Acapulco, GRO 39890",charger
Princess Mundo Imperial,"Costera de las Palmas Granjas del Marquez, Acapulco, GRO 39890",charger
"Estacion 012918 ""LMOL""","Mexico-pachuca Carretera Federal Km 62+320 Barrio de Santo Tomas, Tolcayuca, HID 43860",charger
Fiesta Inn Pachuca Gran Patio,"Blvd Luis Donaldo Colosio 2009 Los Jales, Pachuca, HID 42064",charger
Gamma Pachuca,"Carretera Mexico Pachuca km. 85.5 Venta Prieta, Pachuca, HID 42080",charger
Los Cochinitos Pachuca,"Carr. Federal Pachuca - Mexico km 52, Pachuca, HID 76837",charger
Hotel Lindo Ajijic,"17A Ángel Flores 17A, Las Salvias, Ajijic, Jalisco 45920",charger
Aeropuerto Guadalajara,"Carr. Guadalajara Chapala Km 17.5, Guadalajara, JAL 45659",charger
Aerotron Guadalajara,"Hangar 1 Aeropuerto Internacional, Miguel Hidalgo, JAL 45659",charger
Aerotron Vallarta,"Hangar Aeropuerto Puerto Vallarta 1 Villa Las Flores,, Puerto Vallarta, JAL 48335",charger
Cafe Barbera Providencia,"Av. Providencia 2848 Providencia 4a. Seccion, Providencia 4a. Secc, Guadalajara, JAL 44639",charger
Campestre los Encinos,"Carretera Tapalpa a Guadalajara Km 2.5, Tapalpa, JAL 49340",charger
Centro Comercial Plaza del Sol,"Av Lopez Mateos Sur 2375 Ciudad del Sol, Zapopan, JAL 45050",charger
City Express Plus Guadalajara Expo,"Avenida Mariano Otero 1390 Rinconada del Sol, Guadalajara, JAL 45055",charger
Club Privado San Javier,"Paseo de Las Penas 3500 Colinas de San Javier, Guadalajara, JAL 44460",charger
Cortijo Las Ca├▒adas,"San Isidro Sur S/N Las Ca├▒adas, Zapopan, JAL 45206",charger
El Fogon del Pibe,"Av Adolfo Lopez Mateos Sur 4545 Boyero, Zapopa, JAL 45070",charger
Eleganzza Auto Spa,"Diagonal Golfo de Cortes 2875 Vallarta Nte, Guadalajara, JAL 44690",charger
Expo Guadalajara,"Av. Mariano Otero 1499 Verde Valle, Guadalajara, JAL 44550",charger
Fiesta Americana Guadalajara,"Av. Aurelio Aceves No. 225 Vallarta Poniente, Guadalajara, JAL 44110",charger
Fiesta Americana Puerto Vallarta All Inclusive & Spa,"Av. Francisco Medina Ascencio Km. 2.5 Zona Hotelera,, Puerto Vallarta, JAL 48333",charger
Fiesta Inn Guadalajara Expo,"Avenida Mariano Otero 1550 Col. Rinconada del Sol, Guadalajara, JAL 45055",charger
Gran Terraza Belenes,"Av. Laureles 1300 Parque Industrial Belenes,, Zapopan, JAL 45138",charger
Grand Fiesta Americana Guadalajara Country Club,"Avenida de las Americas 1551 Providencia, Guadalajara, JAL 44630",charger
Hacienda del Lago Boutique Hotel & Restaurant,"Independencia 63 Centro,, Ajijic, JAL 45920",charger
Holiday Inn Express Guadalajara Expo,"Av Mariano Otero 2397 Victoria, Guadalajara, JAL 45089",charger
Hotel Baruk Guadalajara,"Calzada Lazaro Cardenas 3447 Chapalita, Guadalajara, JAL 44500",charger
Icon Tower 23,"Av. Empresarios 255 Puerta de Hierro, Zapopan, JAL 45116",charger
Illy Cafe,"Av. Providencia 2969b Providencia 4a. Secc, Guadalajara, JAL 44630",charger
La Gourmeteria,"Av. Lopez Mateos 1710 Col. Santa Isabel, Tlajomulco de Zuniga, JAL 45645",charger
Landmark Guadalajara,"Av. Patria 188 Puerta de Hierro, Zapopan, JAL 45116",charger
Patio La Cima,"Av. Juan Gil Preciado 1544 Arcos de Zapopan, Zapopan, JAL 45130",charger
Punto Patrimonio,"Av Pablo Neruda 2842-B Providencia 4a. Secc, Guadalajara, JAL 44639",charger
Punto Sao Paolo,"Av. de las Americas 1545 Providencia, Guadalajara, JAL 44630",charger
Quinta del Bosque,"Vicente Guerrero 100 La Prepa, Mazamitla, JAL 49500",charger
Sal de Mar,"Calle Jose Maria Morelos 1360 Americana, Guadalajara, JAL 44160",charger
Serviplaza Circunvalacion,"Av. Cvln. Division del Nte., Esq. Av de los Normalistas Colinas de La Normal, Guadalajara, JAL 44270",charger
The Westin Resort & Spa Puerto Vallarta,"Paseo de La Marina Sur 205 Marina Vallarta, Puerto Vallarta, JAL 48354",charger
Torre MIL,"Av. de las Americas 1500 Country Club, Guadalajara, JAL 44610",charger
Torre MIl500,"Av. de las Americas 1500 Country Club, Guadalajara, JAL 44610",charger
Urban Center Guadalajara,"Av. Adolfo Lopez Mateos Sur 7000 La Rioja, Los Gavilanes, Tlajomulco de Zuniga, JAL 45643",charger
V├¡a Libertad,"Calle Colonias 221 Americana, Guadalajara, JAL 44160",charger
Walmart Vallarta,"Av. Vallarta 5455 Camichines Vallarta, Zapopan, JAL 45030",charger
Westin Gualajara,"2911 Avenida de Las Rosas Rinconada del Bosque, Guadalajara, JAL 44530",charger
WTC Guadalajara,"Avenida Mariano Otero 1249 Rinconada del Bosque, Verde Valle, Guadalajara, JAL 44530",charger
Park Royal Beach Acapulco,"110 Costera Guitarrón, Acapulco de Juárez, Guerrero 39880",charger
El Cielo Resort Valle de Guadalupe,"117 El Porvenir, Francisco Zarco, Baja California 22755",charger
Querétaro Centro de Congresos,"1531 Paseo de las Artes, Santiago de Querétaro, Querétaro 76090",charger
Auditorio General José María Arteaga,"95 Prol. Bernardo Quintana, Santiago de Querétaro, Querétaro 76140",charger
Universidad Aeronáutica en Querétaro,"22154 Carr. Querétaro-Tequisquiapan, Santiago de Querétaro, Querétaro 76278",charger
Parque Querétaro 2000,"17 Avenida Universidad, Santiago de Querétaro, Querétaro 76000",charger
"Centenaria Y Benemérita Escuela Normal del Estado De Querétaro ""Andrés Balvanera""","76090 San Mateo, Santiago de Querétaro, Querétaro",charger
Auditorio Josefa Ortiz de Domínguez,"S/N Sierra de Zimapán, Santiago de Querétaro, Querétaro 76000",charger
Altozano Morelia,"Avenida Montana Monarca 1000 Montana Monarca, Morelia, MIC 58350",charger
Escala Morelia,"Perif. Paseo de la Republica 5030 Jardines del Rincon, Morelia, MIC 58270",charger
Espacio Morelia,"Av.Lic.Enrique Ram├¡rez Miguel S/N Col.Las Americas, Morelia, MIC 58270",charger
Holiday inn Morelia,"Periferico Paseo DE LA Republica, Perif. Paseo de la Republica 3466 Terrazas del Campestre, Morelia, MIC 58295",charger
Hotel Gamma Belo Morelia,"Av. Camelinas 2938 Cinco de Diciembre, Morelia, MIC 58280",charger
100% Natural - Cuernavaca,"Diana 14 Delicias, Cuernavaca, MOR 62330",charger
"Anticavilla Restaurant, Hotel & SPA","Rio Amacuzac # 10, esquina Chilpancingo Colonia Vista Hermosa, Cuernavaca, MOR 62290",charger
Averanda Cuernavaca,"Cuernavaca - Ciudad de Mexico Villas del Lago, Cuernavaca, MOR 62374",charger
Carlitos Grill and Garden,"Av. Domingo Diez 711 Lomas de la Selva, Cuernavaca, MOR 62250",charger
Centro Comercial Lomas de Cocoyoc,"Boulevard Lomas de Cocoyoc No 1 Bis Lomas de Cocoyoc, Oaxtepec, MOR 62847",charger
Centro Novatec,"Lomas de Cocoyoc Atlatlahucan, Morelos, MEX 62738",charger
Club Campestre Lomas de Cocoyoc,"Club Campestre Cocoyoc Col Tizapan, San Angel, Atlatlahuacan, MOR 62840",charger
Fiesta Americana Hacienda San Antonio El Puente,"Reforma 2 Fracc. Real del Puente, Xochitepec, MOR 62790",charger
Fiesta Inn Cuernavaca,"Carretera Mexico - Acapulco Km. 88 S/N Delicias, Cuernavaca, MOR 62330",charger
Hosteria las Quintas,"Av. Gustavo Diaz Ordaz, 9 Colonia Cantarranas, Cuernavaca, MOR 62448",charger
Hotel Hacienda Cocoyoc,"Carretera Federal Cuernavaca- Cuautla Km 32.5 Cocoyoc Centro, Yautepec, MOR 62736",charger
Hotel Villa Bejar Cuernavaca,"Av. Domingo Diez 2350 Chamilpa, Cuernavaca, MOR 62210",charger
Hotel Villa Bejar Tequesquitengo,"Blvr Tequesquitengo esq Lomas Tropicales, Tequesquitengo, MOR 62915",charger
Jardines de Mexico,"Km 129 Carretera Mexico-Acapulco 95D Jojutla, Jojutla, MOR 62908",charger
Los Cochinitos Cuernavaca,"Carretera Mexico-Acapulco Km. 88,400 Delicias, Cuernavaca, MOR 62330",charger
Fiesta Inn Tepic,"Blvd. Luis Donaldo Colosio 580 Benito Juarez Ote., Subcentro Urbano, Tepic, NAY 63175",charger
Four Seasons Resort Punta Mita,"Punta Mita Bahia de Banderas, Punta Mita, NAY 63734",charger
St. Regis Punta Mita,"The St. Regis Punta Mita Resort Lote H4 Condominio Maestro Ramal, Carretera Federal 200 KM 19.5, Punta Mita, NAY 63734",charger
7Eleven LEED,"Av. Eugenio Garza Sada Sur 2620 Tecnologico, Monterrey, NLE 64700",charger
Avanta Gardens Monterrey,"Avenida Jose Vasconselos 755 Pte Los Sabinos, Monterrey, NLE 66226",charger
Best Western Aeropuerto,"Boulevard Aeropuerto 5001 Parque Industrial Milenio, Apodaca, NLE 66600",charger
Best Western Bazarell Inn,"Ave. Capitan Alonso de Le├│n Km 206 Col. Gil de Leyva, Montemorelos, NLE 67500",charger
Best Western Plus Monterrey Airport,"Carretera Miquel Aleman Km 18.5, Monterrey, NLE 66600",charger
Cafe Sierra Norte,"Carretera Nacional #1601 Norte San Javier, Centro de Allende, Cd de Allende, NLE 67350",charger
Calzad401 Monterrey,"Calzada 401 Ote. Colonia Del Valle, San Pedro Garza Garcia, NLE 66220",charger
Chroma Monterrey,"Av. Ricardo Margain Zozaya 315 Zona Santa Engracia, San Pedro Garza Garc├¡a, NLE 66267",charger
City Express Plus Monterrey San Jeronimo,"San Jeronimo 311 San Jeronimo, Monterrey, NLE 64640",charger
Club de Industriales,"Av. Parte Aguas 698 Los Arcangeles, Zona Loma Larga Poniente, San Pedro Garza Garci¡a, NLE 66266",charger
Club Sonoma,"Camino al Mirador 5800 Fraccionamiento Club Sonoma Residencial, Monterrey, NLE 64925",charger
Fiesta Americana Monterrey Pabellon,"Avenida Presidente Benito Juarez Oriente 1102 Centro, Monterrey, NLE 64000",charger
Fiesta Inn Monterrey Fundidora,"Av. Churubusco #701, Esq. Prolongacio Av. Madero Col. Fierro, Monterrey, NLE 64590",charger
Fiesta Inn Monterrey La Fe,"Avenida Miguel Aleman km 105 La Fe, San Nicolas de los Garza, NLE 66486",charger
Fiesta Inn Monterrey Tecnologico,"Av. Eugenio Garza Sada 2411 Roma, Monterrey, NLE 64700",charger
Fiesta Inn Monterrey Valle,"Av. Lazaro Cardenas 327 Ote., Valle Oriente,, San Pedro Garza Garcia, NLE 66269",charger
Galerias Valle Oriente,"Av Lazaro Cardenas 1000 Paseo de Las Privanzas, Monterrey, NLE 64700",charger
Innovasport HQ,"Av. Humberto Lobo 540 Colonia del Valle, San Pedro, Garza Garcia,, NLE 66220",charger
Innovasport San Pedro Plus,"Av. Humberto Lobo 540 Colonia del Valle, San Pedro Garza Garcia, NLE 66220",charger
La Capital,"Calle Washington 1400 Centro, Monterrey, NLE 64000",charger
Las Misiones Club Campestre,"Antiguio Camino a Villa de Santiago No.300 El Cerrito, Las Misiones, Santiago, NLE 67301",charger
Latitud,"Av L├ízaro C├írdenas 2225 Valle Oriente, Monterrey, NLE 66260",charger
Live Aqua Monterrey Valle,"Av Lazaro Cardenas 2424 Valle Oriente, San Pedro Garza Garcia, NLE 66260",charger
Metropolitan Center,"Lazaro Cardenas 2400 Haciendas de La Sierra, Lazaro Cardenas, Monterrey, NLE 66278",charger
Movic Records,"Av. Humberto Lobo 2000 Col. Del Valle, Monterrey, NLE 66220",charger
Nuevo Sur,"Avenida Revolucion 2703 Ladrillera, Monterrey, NLE 64830",charger
One Monterrey Aeropuerto,"Blvd. Aeropuerto 10 Parque industrial Milenio, Cd Apodaca, NLE 66600",charger
Pabellon M,"Av. Constitucion S/N Centro, Monterrey, NLE 64000",charger
Paseo Almenares,"Av Sendero Divisorio Anahuac Sendero, San Nicolas de los Garza, NLE 66417",charger
Plaza 100,"Ave. Manuel Gomez Morin 100 Carrizalejo, San Pedro Garza Garcia, NLE 66245",charger
Plaza Cumbres,"Calle Alejandro de Rodas Bosques de Las Cumbres, Monterrey, NLE 64619",charger
Plaza El Encino,"Paseo de las Americas #2101 Contry Sol 2do Sector, Guadalupe, NLE 67174",charger
Plaza Fiesta San Agustin,"Av. Real San Augustin # 222 Colonia Real de San Agustin, San Pedro Garza Garcia, NLE 66260",charger
Plaza Nativa,"Avenida Alfonso Reyes 901 Zona Valle Poniente, San Pedro Garza Garcia, NLE 66233",charger
Plaza O2,"Avenida Jose Vasconcelos 150 Del Valle, San Pedro Garza Garcia, NLE 66220",charger
Plaza Tanarah,"Av. Jose Vasconcelos 345 Santa Engracia, San Pedro Garza Garc├¡a, NLE 66267",charger
Plaza XO,"Rio Mississippi 119 Del Valle, San Pedro Garza Garcia, NLE 66220",charger
Pueblo Serena,"Carretera Nacional 500 Valle Alto, Monterrey, NLE 64989",charger
Pueblo Serena II,"Carretera Nacional 500 Valle Alto, Monterrey, NLE 64989",charger
Sheraton Ambassador Monterrey,"Miguel Hidalgo 310 Ote Centro, Monterrey, NLE 64000",charger
"Supermercados Internacionales HEB, S.A. de C.V.","Gomez Morin #300 Col. Valle Campestre, San Pedro Garza Garcia, NLE 66278",charger
Taller Veganico / Pan Benell / Autocity,"Plutarco Elias Calles 419 Barrio Tampiquito, T, San Pedro Garza Garcia, NLE 66240",charger
Torre BH,"Blvd. Antonio L. Rodriguez 2100 Santa Maria, Monterrey, NLE 64650",charger
Walmart las Torres,"Avenida Eugenio Garza Sada 6101 Las Brisas, Monterrey, NLE 64780",charger
Fiesta Inn Oaxaca,"Av. Universidad 140 Ex-Hacienda de Candiani, Oaxaca, OAX 68130",charger
Hotel Mision Oaxaca San Felipe,"Av. Jalisco 15 San Felipe Del Agua,, Oaxaca, OAX 68020",charger
Africam Safari,"Blvd. Cap. Carlos Camacho Espφritu Km 16.5 Oasis, Puebla, PUE 72960",charger
Africam Safari II,"Boulevard Capitan Carlos Camacho Espiritu Km 16.5 Oasis, Puebla, PUE 72960",charger
Casona Maria Puebla,"Calle 3 Oriente 1414 Barrio de Analco, Puebla, PUE 72500",charger
City Express Puebla Angelopolis,"Cto Juan Pablo II 1755 Reserva Territorial Atlixcayotl, La Noria, x, Puebla, PUE 72410",charger
City Express Puebla Autopista,"Guerrero 117 San Juan Cuautlancingo, Sanctorum, San Juan Cuautlancingo, PUE 72730",charger
City Express Puebla Centro,"Calle 10 Nte. 1406 Del Alto, Barrio del Alto,, Puebla, PUE 72000",charger
City Express Suites Puebla Autopista,"Lateral Autopista Mexico Puebla #7533 Moratilla, Puebla, PUE 72110",charger
Courtyard by Marriott Puebla Las Animas,"Av. Manuel Espinosa Yglesias 31 Pte. 3333 Villas de Atlixco, Puebla, PUE 72400",charger
Espacio la Vista,"Atlixcßyotl 3204 Tlaxcalancingo, Puebla, PUE 72810",charger
Fiesta Americana Grand Puebla,"Parque Milenium, Calle Osa Mayor 2507 Reserva Territorial Atlixcayotl, Puebla, PUE 72190",charger
Fiesta Inn Las Animas Puebla,"Atlixco Col. Las Animas, Puebla, PUE 72400",charger
Fiesta Inn Puebla FINSA,"Carretera Lateral Autopista Mexico-Puebla 7735 Rancho Moratilla, Puebla, PUE 72110",charger
Hotel Boutique Casa Reyna,"Privada 2 Oriente 1007 Centro, Puebla, PUE 72000",charger
Hotel One Puebla FINSA,"Lateral Sur Aut. Mexico Puebla No.55 Guadalupe Victoria, Puebla, PUE 72710",charger
Hotel Villa Florida Puebla,"Blvrd Atlixcayotl 1100 Reserva Territorial Atlixcayotl, Puebla, PUE 72810",charger
Komplex Puebla,"BLVD MUNICIPIO LIBRE 1943 COL. EXHDA MAYORAZGO, Puebla, PUE 72480",charger
Los Cochinitos,"Carretera Mexico-Puebla Km. 112-800 San Francisco Ocotlan, San Francisco Ocotlan, PUE 72680",charger
Marriott Puebla Hotel Meson del Angel,"Boulevard Hermanos Serdin 807 Las Fuentes de Puebla, Puebla, PUE 72116",charger
Mision Grand Ex-Hacienda de Chautla,"Camino Ex Hacienda de Chautla San Lucas el Grande, San Salvador el Verde, PUE 74135",charger
Plaza los Arcangeles y Chedraui Selecto,"Lateral sur via Atlixcayotl 6510 San Bernandino, San Andres Cholula, PUE 72820",charger
Plaza Mazarik,"Boulevard Atlixcayotl 1501 Reserva Territorial Atlixcayotl, Puebla, PUE 72810",charger
Plaza Meson 810 y Hotel Staybridge Puebla,"Blvd. Hermanos Serdan 810 Col. El Riego Sur, Puebla, PUE 72020",charger
Plaza Solesta Puebla,"Atlixcayotl 4931 Reserva Territorial Atlixcayotl, Puebla, PUE 72197",charger
Rosewood Puebla,"Calle 10 Nte. 1402 Barrio del Alto, Puebla, PUE 72000",charger
Aires de Campo Queretaro,"Paseo de Jurica No. 340 LB Jurica, Santiago de Queretaro, QUE 76100",charger
Best Western Tequisquiapan,"Heroico Colegio Militar 7, Fundadores de Hacienda Grande Centro, Tequisquiapan, QUE 76750",charger
City Express Jurica,"Av. 5 de Febrero No. 9200-A Col Parque Industrial Benito Juarez, Santiago de Queretaro, QUE 76100",charger
City Express Suites Queretaro,"Av. 5 de Febrero 9852 Las Campanas, Queretaro, QUE 76120",charger
Club de Golf El Campanario,"Av. el Campanario 100 El Campanario, Santiago de Queretaro, QUE 76146",charger
Domun Hotel,"Carretera Federal 57 Mexico-Queretaro #1085 Col. Quintas del Marques, Queretaro, MEX 76047",charger
El Caserio,"Av. Constituyentes 101 Pte Casa Blanca, Santiago de Queretaro, QUE 76030",charger
Esfera Queretaro,"Autopista Queretaro-Celaya Km. 0.600 No. 5501 Col., Jardines de la Hacienda, Quer├⌐taro, QUE 76180",charger
Fiesta Americana Hacienda Galindo,"Carretera Amealco-Galindo Km 5.5 Galindo,, San Juan del Rio, QUE 76820",charger
Fiesta Inn Queretaro,"Av. 5 de Febrero #108 Ninos Heroes, Queretaro, QUE 76010",charger
Fiesta Inn Queretaro Centro Sur,"Boulevard Bernardo Quintana Arroja 7001 Col. Centro Sur, Queretaro, QUE 76090",charger
Four Points by Sheraton Queretaro Norte,"Carretera San Luis Potosi #13001 El Salitre, Queretaro, QUE 76127",charger
Grand Fiesta Americana Queretaro,"Blvd. Bernardo Quintana Arrioja 4050 Col. Alamos 3a Seccion, Queretaro, QUE 76160",charger
Hacienda Jurica by Brisas,"Paseo de Jurica 618 Hacienda Jurica, Jurica, QUE 76100",charger
Hilton Garden Inn Queretaro,"Ignacio Zaragoza 99 Centro, Queretaro, QUE 76180",charger
Holiday Inn Express San Juan Del Rio,"Paseo Central 23 Industrial Valle De Oro, San Juan del Rio, QUE 76803",charger
Homewood Suites Queretaro,"Gasa de incorporacion a Carr. Queretaro -San Luis Potosi 631-C, Jurica, Queretaro, QUE 76100",charger
Hotel Mision Juriquilla Queretaro,"Boulevard Villas del Meson No. 56 Juriquilla, Queretaro, QUE 76230",charger
Hotel Mision La Muralla,"Carretera San Juan del Rio-Amealco km 26 La Muralla, Amealco de Bonfil, QUE 76850",charger
Los Cochinitos Queretaro,"Carretera Mexico-Queretaro km. 152 Puerta de Palmillas, San Juan del Rio, QUE 76837",charger
Mision San Gil,"Carretera Mexico-Queretaro Km. 172 La Estancia, San Juan del Rio, QUE 78821",charger
Paseo Santiago,"Paseo de la Garza 87 Santa Fe, Corregidora, QUE 76900",charger
Plaza Latitud Victoria,"Av Constituyentes 40 zona dos extendida, Mercurio, Queretaro, QUE 76040",charger
Urban Center Jurica,"5 de Febrero Jurica, Queretaro, QUE 76100",charger
Urban Center Juriquilla,"Blvd Jurica La Campana 899 Residencial Caletto, Queretaro, QUE 76230",charger
Andaz Mayakoba Riviera Maya,"Carretera Federal, Carr. Cancun - Tulum Km. 298, Playa del Carmen, ROO 77710",charger
Bacalar Beach Club,"605 Costera Bacalar Sur 605, Bacalar, Quintana Roo 77930",charger
Banyan Tree Mayakoba,"Chetumal-Puerto Juarez Riviera Maya Km 298, Playa del Carmen, ROO 77710",charger
Barrio Latino,"Calle 4 Nte 153 Centro, Playa del Carmen, ROO 77710",charger
Be Tulum Hotel,"Carretera Tulum-Boca Paila Km.10 Zona Hotelera, Tulum, ROO 77780",charger
City Express Playa del Carmen,"Av. Balamkanche Lt 4 Mza 30 Playacar Fase II, Playacar, Playa del Carmen, ROO 77710",charger
Edificio Miranda,"Calle 38 nte, equina calle Flamingos Col. Zazil∩┐╜Ha, Playa del Carmen, ROO 77710",charger
Fiesta Americana Condesa Cancun,"Blvd. Kukulkan km 16.5 Zona Hotelera, Cancun, ROO 77500",charger
Fiesta Americana Villas Cancun,"Blvd. Kukulcan Km. 8.5 Lote 3 Zona Hotelera, Cancun, ROO 77500",charger
Fiesta Inn Playa del Carmen,"10 Avenida Norte 325 Gonzalo Guerrero, Playa del Carmen, ROO 77710",charger
Four Points Cancun,"Avenida Tulum, MZ 1 Lote 2 SM 12, Cancun, ROO 77500",charger
Grand Fiesta Americana Coral Beach Cancun,"Blvd. Kukulkan Km 9.5 Zona Hotelera, Cancun, ROO 77500",charger
Hotel & Suites Arges,"212 Avenida Lázaro Cárdenas 212, Colonia Centro, Chetumal, Quintana Roo 77000",charger
Hotel Nizuc Cancun,"Blvd Kukulkan Mz 59 Lote 1-01 Km 21.26, Nizuc, Cancun, ROO 77500",charger
Hotel One Cancun Centro,"Av. Tulum esq. Banco Chinchorro Mz. 2, Lote 1-01, Supermanzana 13, Cancun, ROO 77504",charger
La roca Cancun,"Blvd Cumbres Mza 109, Sm 310, Campestre Lol-be, Cancun, ROO 77560",charger
Live Aqua Boutique Resort Playa del Carmen,"Calle Quinta Avenida Playa del Carmen, Playa del Carmen, ROO 77710",charger
Live Aqua Cancun,"Blvd. Kukulcan Km.12.5 Zona Hotelera, Cancun, ROO 77500",charger
Los Amigos: Central Park Tulum,"Calle 4 sur mza 20 lote 1 Zona1, Tulum, ROO 77780",charger
Siempre Playa,"Calle 38 norte, esquina con 10 avenida norte Col. Gonzalo Guerrero, Playa del Carmen, ROO 77720",charger
Teatro Cirque du Soleil,"Carretera Federal Cancun - Playa del Carmen Km 48 Solidaridad, Playa del Carmen, ROO 77710",charger
The Explorean Kohunlich,"Carretera Chetumal Escarcega Km. 5.6, Chetumal, ROO 77981",charger
"Vidanta: The Grand Mayan, Quintana Roo","Carretera Federal Cancun - Playa del Carmen Km. 48 Solidaridad, Playa del Carmen, ROO 77710",charger
Westin resort and Spa Cancun,"Blvd. Kukulcan KM 20 Zona Hotelera, Cancun, ROO 77500",charger
City Express San Luis Potosi Zona Industrial,"Carr. Central Mexico -, Blvd. San Luis 2150 Fracc. Industrias, San Luis Potosi, SLP 78399",charger
Conrad San Luis Potosi,"Real de Lomas 1015 Lomas 4ta Secc, San Luis Potosi, SLP 78216",charger
El Dorado Centro Comercial,"Av Nereo Rodri¡guez Barragan 450 Col. del Valle, San Luis Potosi, SLP 78200",charger
Fiesta Inn San Luis Potosi Glorieta Juarez,"Av. Benito Juarez 130 Fracc. Prados Glorieta, San Luis Potosi, SLP 78390",charger
Fiesta Inn San Luis Potosi∩┐╜ Oriente,"Carr. 57 km. 197+100 No. 2390 Periferico Oriente Industrias, San Luis Potosi, SLP 78090",charger
Plaza Chapultepec 1200,"Avenida Chapultepec 1200 Alpes, San Luis Potosi, SLP 78295",charger
Plaza San Luis,"Blvd. Periferico Sur Antonio Rocha Cordero #700 Fraccionamiento Lomas del Tecnologico, San Luis Potosi, SLP 78216",charger
El Cid Castilla Beach,"Avenida Camaron Sabalo Zona Dorada, Mazatlan, SIN 82110",charger
El Cid Marina Beach,"Avenida Camaron Sabalo S/N, Mazatlan, SIN 82110",charger
Fiesta Inn Culiacan,"J. Diego Valadez No. 1676 Pte., Desarrollo Urbano Tres Rios, Culiacan, SIN 80000",charger
Hotel Mision Mazatlan,"Av Camaron Sabalo 1927 Sabalo Country Club, El Encanto, Mazatlan, SIN 82110",charger
La Primavera - Club de Golf,"Desarrollo Urbano La Primavera, Culiacan, SIN 80300",charger
La Primavera - San Anselmo,"Calle San Anselmo Desarrollo Urbano La Primavera, Culiac├ín, SIN 80199",charger
Elba,"Calle 5 de mayo #901 Colonia la loma, Santa Ana, SON 84600",charger
Fiesta Americana Hermosillo,"Boulevard Eusebio Kino 369 Lomas de Pitic, Hermosillo, SON 83010",charger
Fiesta Inn Ciudad Obregon,"Av. Miguel Aleman 755 Zona Norte, Urb. No. 4, Cd Obreg├│n, SON 85000",charger
Fiesta Inn Hermosillo,"Eusebio Francisco Kino 375 Lomas Pitic,, Hermosillo, SON 83010",charger
Fiesta Inn Nogales,"Calz. Industrial Nuevo Nogales 3 Nueva Nogales, Nogales, SON 84094",charger
Hacienda De Los Santos,"Calle Molina 8 Centro, Alamos, SON 85760",charger
Islas del Mar,"KM 6.5 Carretera Entronque Cerro Prieto km 6.5. S/N, Colonia Centro, Puerto Peñasco, Sonora 83550",charger
Sonoran Sun Resort,"Camino a la Cholla KM. 4 S/N Col. Costa Diamante, Puerto Penasco, SON 83550",charger
Fiesta Inn Villahermosa Cencali,"Benito Juarez Garcia 105 Loma Linda, Villahermosa, TAB 86050",charger
City Express Nuevo Laredo,"Avenida Cesar Lopez de Lara 3940 Militar II, Nuevo Laredo, Tamaulipas 88289",charger
Fiesta Inn Nuevo Laredo,"Av. Reforma No.5102 Lagos, Nuevo Laredo, Tamaulipas 88290",charger
Fiesta Inn Tampico,"Av Hidalgo 6106 Laguna de la Herradura, Tampico, Tamaulipas 89219",charger
Hotel One Reynosa Valle Alto,"Av. de los Encinos No. 1000 Lomas del Real de Jaranchinas, Reynosa, Tamaulipas 88730",charger
Val Quirico,"Carretera Xoxtla Km 2 No. 101 Santa Isabel Tetlatlauhca, Nativitas, TLA 90710",charger
City Express Minatitlan,"Blvd. Instituto Tecnologico Km 711 Lt 39 Mza 28 Col. Nueva Minatitlan, Minatitlan, VER 96760",charger
Double Tree Hilton Veracruz,"Blvd. Manuel ├üvila Camacho 707 Costa Verde, Veracruz, VER 91900",charger
Estacionamiento Yamel,"Calle 1 16 Centro, Cordoba, VER 94500",charger
Fiesta Americana Veracruz,"Prol. Blvd. Manuel Avila Camacho S/N Col. Fraccionamiento Costa de Oro, Boca del Rio, VER 94299",charger
Fiesta inn Coatzacoalcos,"Boulevard Costero No. 801 Santa Isabel, Celanese Mexicana, Coatzacoalcos, VER 96538",charger
Fiesta Inn Poza Rica,"Av. Ej. Mexicano 103 Palma Sola, Poza Rica, VER 93320",charger
Fiesta Inn Veracruz Boca del Rio,"Prol. Manuel Avila Camacho S/N Fracc. Costa de Oro, Boca del Rio, VER 94299",charger
Fiesta Inn Veracruz Malec├│n,"General Figueroa 68 Faros, Veracruz, VER 91700",charger
Fiesta Inn Xalapa,"Carretera Xalapa - Veracruz km 2.5 Fracc. Las Animas, Xalapa Enriquez, VER 91190",charger
Gamma Fiesta Americana Xalapa Nubara,"Av. Ruiz Cortines 912 Col. Unidad Del Bosque, Xalapa, VER 91010",charger
Hotel Galeria Plaza Veracruz,"Blvd. Adolfo Ruiz Cortines #3495 Mocambo, Boca del Rio, VER 94294",charger
Hotel Mision Orizaba,"Oriente 6 No. 464 Centro, Orizaba, VER 94300",charger
Mision Xalapa Plaza de las Convenciones,"Avenida 20 de Noviembre Oriente 455 Modelo, Xalapa Enriquez, VER 91040",charger
One Xalapa,"Blvd. Cristobal Colon 26 Fracc. Las Animas, Xalapa Enriquez, VER 91190",charger
Plaza El Dorado,"Carr. Federal Paso del Toro - Boca del Rio -Anton Lizardo 4405 El Novillero, Boca del Rio, VER 94290",charger
Plaza Valle Orizaba,"Circunvalacion 1430 El Espinal, Orizaba, VER 94330",charger
