location_label,description,charger_href,charger_type,lat,lon
Club de Golf Bellavista,"Av Valle Verde 52 Club de Golf Bellavista, Ciudad Lopez Mateos, MEX 52995",https://www.tesla.com/findus/location/charger/dc22214,charger,19.5254973,-99.2452519
Cosmopol,"San Francisco Coacalco Bosques del Valle, Coacalco de Berriozabal, MEX 55700",https://www.tesla.com/findus/location/charger/dc61805,charger,19.6515833,-99.1189588
Espacio Interlomas,"Avenida Jesus del Monte 37 Jesus del Monte, Huixquilucan, MEX 52764",https://www.tesla.com/findus/location/charger/dc61793,charger,19.3950719,-99.2891633
Fiesta Inn Loft Irapuato,"Paseo del Atardecer 152 Villas de Irapuato, Irapuato, GUA 36670",https://www.tesla.com/findus/location/charger/dc20708,charger,20.6844293,-101.4139105
Hampton Inn Irapuato,"Boulevard Lazaro Cardenas 4210 Residencial Campestre, Irapuato, GUA 36698",https://www.tesla.com/findus/location/charger/dc27055,charger,20.6773994,-101.367821
Rosewood San Miguel de Allende Mexico,"Calle Nemesio Diez #11 Zona Centro, San Miguel de Allende, GUA 37700",https://www.tesla.com/findus/location/charger/dc17017,charger,20.909345,-100.7448734
Hotel One Acapulco,"Av. Costera Miguel Aleman 16 Costa Azul, Acapulco, GRO 39850",https://www.tesla.com/findus/location/charger/dc17994,charger,16.8542956,-99.8569364
Centro Comercial Plaza del Sol,"Av Lopez Mateos Sur 2375 Ciudad del Sol, Zapopan, JAL 45050",https://www.tesla.com/findus/location/charger/dc26323,charger,20.6495422,-103.4025252
City Express Plus Guadalajara Expo,"Avenida Mariano Otero 1390 Rinconada del Sol, Guadalajara, JAL 45055",https://www.tesla.com/findus/location/charger/dc28570,charger,20.6504345,-103.3992231
Club Privado San Javier,"Paseo de Las Penas 3500 Colinas de San Javier, Guadalajara, JAL 44460",https://www.tesla.com/findus/location/charger/dc19429,charger,20.703772,-103.3973104
Expo Guadalajara,"Av. Mariano Otero 1499 Verde Valle, Guadalajara, JAL 44550",https://www.tesla.com/findus/location/charger/dc19555,charger,20.6530146,-103.3950168
Grand Fiesta Americana Guadalajara Country Club,"Avenida de las Americas 1551 Providencia, Guadalajara, JAL 44630",https://www.tesla.com/findus/location/charger/dc18532,charger,20.6997779,-103.3750077
Holiday Inn Express Guadalajara Expo,"Av Mariano Otero 2397 Victoria, Guadalajara, JAL 45089",https://www.tesla.com/findus/location/charger/dc38869,charger,20.6529604,-103.3953307
Hotel Baruk Guadalajara,"Calzada Lazaro Cardenas 3447 Chapalita, Guadalajara, JAL 44500",https://www.tesla.com/findus/location/charger/dc33045,charger,20.6649786,-103.394341
Patio La Cima,"Av. Juan Gil Preciado 1544 Arcos de Zapopan, Zapopan, JAL 45130",https://www.tesla.com/findus/location/charger/dc38517,charger,20.7386244,-103.4046623
Punto Sao Paolo,"Av. de las Americas 1545 Providencia, Guadalajara, JAL 44630",https://www.tesla.com/findus/location/charger/dc48700,charger,20.7021619,-103.3760195
The Westin Resort & Spa Puerto Vallarta,"Paseo de La Marina Sur 205 Marina Vallarta, Puerto Vallarta, JAL 48354",https://www.tesla.com/findus/location/charger/dc19071,charger,20.6573352,-105.2491337
V├¡a Libertad,"Calle Colonias 221 Americana, Guadalajara, JAL 44160",https://www.tesla.com/findus/location/charger/dc24470,charger,20.6725853,-103.3658723
Westin Gualajara,"2911 Avenida de Las Rosas Rinconada del Bosque, Guadalajara, JAL 44530",https://www.tesla.com/findus/location/charger/dc17439,charger,20.6532711,-103.3893645
WTC Guadalajara,"Avenida Mariano Otero 1249 Rinconada del Bosque, Verde Valle, Guadalajara, JAL 44530",https://www.tesla.com/findus/location/charger/dc32759,charger,20.6530146,-103.3950168
Park Royal Beach Acapulco,"110 Costera Guitarrón, Acapulco de Juárez, Guerrero 39880",https://www.tesla.com/findus/location/charger/476554,charger,16.832855,-99.8550816
El Cielo Resort Valle de Guadalupe,"117 El Porvenir, Francisco Zarco, Baja California 22755",https://www.tesla.com/findus/location/charger/455464,charger,32.0914117,-116.580786
Auditorio General José María Arteaga,"95 Prol. Bernardo Quintana, Santiago de Querétaro, Querétaro 76140",https://www.tesla.com/findus/location/charger/453077,charger,20.5820908,-100.361719
Parque Querétaro 2000,"17 Avenida Universidad, Santiago de Querétaro, Querétaro 76000",https://www.tesla.com/findus/location/charger/453326,charger,20.5977896,-100.3956706
Carlitos Grill and Garden,"Av. Domingo Diez 711 Lomas de la Selva, Cuernavaca, MOR 62250",https://www.tesla.com/findus/location/charger/dc23960,charger,18.9427762,-99.2351505
Hotel Villa Bejar Cuernavaca,"Av. Domingo Diez 2350 Chamilpa, Cuernavaca, MOR 62210",https://www.tesla.com/findus/location/charger/dc25396,charger,18.9591567,-99.2378783
Four Seasons Resort Punta Mita,"Punta Mita Bahia de Banderas, Punta Mita, NAY 63734",https://www.tesla.com/findus/location/charger/dc50165,charger,20.7813959,-105.529442
City Express Plus Monterrey San Jeronimo,"San Jeronimo 311 San Jeronimo, Monterrey, NLE 64640",https://www.tesla.com/findus/location/charger/dc29403,charger,25.6742994,-100.3556269
Fiesta Inn Monterrey La Fe,"Avenida Miguel Aleman km 105 La Fe, San Nicolas de los Garza, NLE 66486",https://www.tesla.com/findus/location/charger/dc18541,charger,25.7196807,-100.2165721
Fiesta Inn Monterrey Tecnologico,"Av. Eugenio Garza Sada 2411 Roma, Monterrey, NLE 64700",https://www.tesla.com/findus/location/charger/dc18542,charger,25.6578874,-100.29635
La Capital,"Calle Washington 1400 Centro, Monterrey, NLE 64000",https://www.tesla.com/findus/location/charger/dc31704,charger,25.6758794,-100.3276064
Live Aqua Monterrey Valle,"Av Lazaro Cardenas 2424 Valle Oriente, San Pedro Garza Garcia, NLE 66260",https://www.tesla.com/findus/location/charger/dc18535,charger,25.6484189,-100.3287429
Pabellon M,"Av. Constitucion S/N Centro, Monterrey, NLE 64000",https://www.tesla.com/findus/location/charger/dc55159,charger,25.6665097,-100.3263788
Plaza Nativa,"Avenida Alfonso Reyes 901 Zona Valle Poniente, San Pedro Garza Garcia, NLE 66233",https://www.tesla.com/findus/location/charger/dc23957,charger,25.6530511,-100.3975026
Plaza O2,"Avenida Jose Vasconcelos 150 Del Valle, San Pedro Garza Garcia, NLE 66220",https://www.tesla.com/findus/location/charger/dc33479,charger,25.6513714,-100.3684539
Plaza XO,"Rio Mississippi 119 Del Valle, San Pedro Garza Garcia, NLE 66220",https://www.tesla.com/findus/location/charger/dc29780,charger,25.6613063,-100.37565
City Express Puebla Autopista,"Guerrero 117 San Juan Cuautlancingo, Sanctorum, San Juan Cuautlancingo, PUE 72730",https://www.tesla.com/findus/location/charger/dc23054,charger,19.0878885,-98.2676688
Hotel Boutique Casa Reyna,"Privada 2 Oriente 1007 Centro, Puebla, PUE 72000",https://www.tesla.com/findus/location/charger/dc28234,charger,19.0398083,-98.1860706
